SKU,Name_Eng,Name_Thai,Category,Product_Code,Unit,Price
SKU-CD015,Candle Magic,เทียนเป่าไม่ดับ,Candle,CD-CRL-NC-T1,กล่อง,25
SKU-CD016,Candle Short Green,เทียนสั้น เขียว,Candle,CD-CSS-GR-T1,กล่อง,25
SKU-CD017,Candle Short Green M,เทียนสั้น เขียว M,Candle,CD-CSS-GR-M1,กล่อง,25
SKU-CD018,Candle Short Purple,เทียนสั้น ม่วง,Candle,CD-CSS-PU-T1,กล่อง,25
SKU-CD019,Candle Short Purple M,เทียนสั้น ม่วง M,Candle,CD-CSS-PU-M1,กล่อง,25
SKU-CD020,Candle Short Orange,เทียนสั้น ส้ม,Candle,CD-CSS-OR-T1,กล่อง,25
SKU-CD021,Candle Short Yellow,เทียนสั้น เหลือง,Candle,CD-CSS-YE-T1,กล่อง,25
SKU-CD022,Candle Bear,เทียนหมีตัวละ,Candle,CD-CSP-BR-T1,กล่อง,25
SKU-CD023,Candle HB Mix,เทียน Happy Birthday คละสี,Candle,CD-CMS-MC-T1,กล่อง,25
SKU-CD024,Candle Rabbit,เทียนกระต่าย,Candle,CD-CSP-RB-T1,กล่อง,25
SKU-BA001,Topper HB,ป้ายวันเกิด,Acces,BA-HBS-01-NC,ชิ้น,25
SKU-BA002,Extra Cake,เพิ่มเค้ก,Acces,BA-CAD-01-NC,ชิ้น,25
SKU-BA003,Lighter,ไฟแช็ก,Acces,BA-LTR-01-NC,ชิ้น,10
SKU-BA004,Crown,มงกุฎ,Acces,BA-CRW-01-GC,ชิ้น,100
SKU-BA005,Cake Knife,มีดตัดเค้ก,Acces,BA-CKK-01-NC,ชิ้น,10
